Time   Number   
ps   
4690          15          21
4700          19          21
4710          17          21
4720          17          21
4730          13          17
4740          15          19
4750          15          21
4760          17          19
4770          15          21
4780          17          19
4790          14          18
4800          16          20
4810          17          19
4820          14          16
4830          16          20
4840          16          18
4850          15          19
4860          17          19
4870          15          17
4880          16          18
4890          14          20
4900          16          18
4910          11          23
4920          14          16
4930          13          19
4940          14          14
4950          13          19
4960          15          15
4970          13          15
4980          14          16
4990          14          14
5000          14          18
5010          14          18
5020          13          19
5030          14          16
5040          12          18
5050          12          16
5060          11          11
5070          11          17
5080          13          15
5090          14          18
5100          15          19
5110          15          21
5120          15          21
5130          16          16
5140          14          18
5150          15          15
5160          13          21
5170          15          17
5180          18          18
5190          14          18
5200          14          20
5210          15          21
5220          17          17
5230          15          19
5240          15          21
5250          14          18
5260          15          19
5270          15          21
5280          16          22
5290          17          19
5300          18          18
5310          17          17
5320          18          18
5330          17          21
5340          15          19
5350          16          20
5360          17          19
5370          17          19
5380          15          19
5390          13          19
5400          16          18
5410          17          19
5420          16          18
5430          17          17
5440          15          17
5450          15          17
5460          16          16
5470          12          16
5480          11          19
5490          16          18
5500          10          18
5510          15          21
5520          13          17
5530          10          14
5540          13          15
5550          12          18
5560          14          16
5570          12          18
5580          12          18
5590          11          19
5600          13          19
5610          13          19
5620          12          18
5630          13          15
5640          14          18
5650          14          18
5660          16          16
5670          15          21
5680          13          17
5690          13          13
5700          13          15
5710          14          14
5720          15          21
5730          15          15
5740          15          19
5750          14          16
5760          12          16
5770          13          13
5780          13          19
5790          15          19
5800          14          18
5810          16          18
5820          13          15
5830          13          15
5840          14          16
5850          16          16
5860          12          18
5870          14          16
5880          12          14
5890          14          18
5900          13          21
5910          15          21
5920          18          18
5930          14          20
5940          13          19
5950          15          17
5960          18          22
5970          16          20
5980          14          16
5990          14          18
6000          13          17
6010          12          20
6020          14          20
6030          13          19
6040          11          17
6050          11          15
6060          16          18
6070          14          16
6080          12          18
6090          10          18
6100          13          23
6110          10          18
6120          14          14
6130          13          25
6140          15          19
6150          15          21
6160          12          18
6170          15          19
6180          15          15
6190          16          20
6200          15          23
6210          14          22
6220          17          19
6230          16          16
6240          13          23
6250          14          18
6260          13          25
6270          14          18
6280          16          24
6290          13          15
6300          14          22
6310          13          17
6320          16          18
6330          13          21
6340          13          17
6350          12          20
6360          12          20
6370          14          16
6380          14          22
6390          13          21
6400          17          19
6410          16          16
6420          17          19
6430          19          19
6440          13          19
6450          17          21
6460          17          21
6470          13          19
6480          13          17
6490          16          18
6500          16          18
6510          16          18
6520          16          20
6530          14          16
6540          15          17
6550          16          22
6560          20          20
6570          19          21
6580          20          20
6590          20          22
6600          22          24
6610          20          26
6620          17          23
6630          13          17
6640          13          15
6650          14          22
6660          17          21
6670          13          17
6680          17          19
6690          17          19
6700          14          24
6710          19          23
6720          14          22
6730          13          17
6740          12          18
6750          12          18
6760          18          22
6770          15          19
6780          10          18
6790          12          16
