Time   Number   
ps   
4690          12          18
4700           8          22
4710          13          15
4720          13          19
4730           9          11
4740           5          19
4750           9           9
4760           7          11
4770          11          15
4780          11          13
4790          12          14
4800           9          13
4810          12          14
4820          10          12
4830           9          11
4840           8           8
4850          10          10
4860          14          14
4870          10          10
4880          10          12
4890          13          13
4900          16          18
4910          16          22
4920          16          16
4930          13          15
4940          14          20
4950          14          16
4960          14          24
4970          15          21
4980          12          20
4990          13          13
5000          10          12
5010          12          12
5020           7           9
5030           8          14
5040           9           9
5050           8          12
5060          10          12
5070           9           9
5080          10          12
5090           5          11
5100          10          10
5110           9          13
5120           6          12
5130           6          10
5140           9          11
5150           6          12
5160           8          12
5170          12          16
5180          10          14
5190           9           9
5200          10          12
5210           8           8
5220           9          13
5230           7           9
5240           7          11
5250           8          14
5260           7           7
5270           7           9
5280           6           6
5290           3           3
5300           5           5
5310           4           4
5320           5           5
5330           6           8
5340          10          10
5350           7          11
5360           6           6
5370           6          10
5380           6           8
5390           7           9
5400           4          10
5410           7           9
5420           6           6
5430           6           6
5440           7           7
5450           5           5
5460           7           9
5470           5           5
5480           6           6
5490           2           8
5500           5           7
5510           4           6
5520           5           7
5530           3           7
5540           4           4
5550           6           6
5560           7           9
5570           9           9
5580           8          12
5590           8          16
5600           9          15
5610           7          11
5620          11          13
5630           8          16
5640          10          10
5650           8          16
5660           8          10
5670           9          11
5680           8          10
5690           7          13
5700           9          17
5710           9          11
5720           8          14
5730           7          15
5740           7          17
5750           7           9
5760           8          12
5770           8          14
5780           8          12
5790          11          17
5800           8          10
5810           9          21
5820          12          14
5830          14          14
5840           7          17
5850          10          12
5860          12          12
5870           9          15
5880          10          14
5890          11          13
5900          13          13
5910           9          13
5920          11          13
5930          10          12
5940          12          14
5950          12          14
5960          11          11
5970          13          15
5980          12          14
5990          13          15
6000          11          15
6010          12          14
6020          10          16
6030          14          14
6040          11          15
6050          13          15
6060          12          18
6070          11          17
6080          15          23
6090          10          18
6100          13          17
6110          10          18
6120          10          16
6130          11          15
6140          12          16
6150          11          15
6160          12          14
6170          10          14
6180          12          18
6190          10          14
6200          14          16
6210          13          19
6220           7          13
6230          11          11
6240          11          15
6250          13          17
6260          10          10
6270          13          15
6280          13          19
6290          12          12
6300           9          11
6310           9          11
6320           5           7
6330           7           9
6340           9           9
6350           9          13
6360           8          12
6370          11          11
6380          13          17
6390          12          16
6400          11          11
6410           8          12
6420           9          17
6430           7          15
6440          14          20
6450          12          16
6460          12          18
6470           9          15
6480          12          14
6490          11          15
6500           8           8
6510          10          14
6520           8          12
6530          10          12
6540           9          11
6550          13          19
6560          10          20
6570          11          15
6580           9          15
6590          12          16
6600          12          12
6610          11          15
6620           9          13
6630          12          14
6640          10          16
6650          12          20
6660           8          12
6670           9          17
6680           8          12
6690           7          11
6700          10          14
6710           9          11
6720          10          16
