Time   Number   
ps   
4690          12          12
4700          11          13
4710          11          11
4720          11          13
4730           8          10
4740          11          13
4750          12          14
4760          13          13
4770          10          14
4780          13          13
4790          13          13
4800          11          13
4810          11          13
4820          12          12
4830          11          13
4840          10          10
4850          12          14
4860          13          13
4870          15          15
4880          12          16
4890          14          16
4900          15          15
4910          13          17
4920          14          16
4930          13          15
4940          14          18
4950          14          18
4960          13          21
4970          14          14
4980          14          16
4990          14          16
5000          14          20
5010          14          16
5020          17          17
5030          16          20
5040          13          19
5050          13          13
5060          12          16
5070          16          16
5080          15          15
5090          13          15
5100          13          15
5110          11          13
5120           9          21
5130          13          19
5140          16          18
5150          13          17
5160          12          22
5170          14          20
5180          14          16
5190          13          17
5200          15          15
5210          14          16
5220          13          15
5230          14          16
5240          12          16
5250          16          20
5260          15          23
5270          16          22
5280          14          26
5290          16          18
5300          15          17
5310          16          22
5320          14          18
5330          16          18
5340          16          18
5350          15          17
5360          15          21
5370          15          19
5380          15          21
5390          15          21
5400          15          19
5410          16          16
5420          16          22
5430          18          20
5440          15          17
5450          16          16
5460          17          17
5470          15          17
5480          15          17
5490          18          20
5500          15          19
5510          15          15
5520          16          20
5530          18          18
5540          17          21
5550          17          19
5560          17          19
5570          17          21
5580          17          19
5590          16          18
5600          15          23
5610          18          20
5620          17          17
5630          13          19
5640          16          18
5650          15          17
5660          16          18
5670          13          25
5680          16          18
5690          14          16
5700          12          18
5710          14          14
5720          16          16
5730          13          13
5740          15          17
5750          16          16
5760          16          16
5770          12          18
5780          15          17
5790          13          17
5800          16          16
5810          16          16
5820          17          19
5830          14          18
5840          14          14
5850          13          15
5860          14          18
5870          15          15
5880          16          18
5890          16          16
5900          15          15
5910          16          18
5920          16          16
5930          14          16
5940          19          19
5950          16          22
5960          16          18
5970          15          19
5980          15          19
5990          17          21
6000          15          17
6010          16          22
6020          17          17
6030          16          22
6040          17          23
6050          15          15
6060          15          21
6070          15          17
6080          14          20
6090          15          15
6100          13          21
6110          12          16
6120          14          18
6130          13          21
6140          15          17
6150          16          18
6160          15          21
6170          11          13
6180          17          21
6190          17          17
6200          15          21
6210          14          22
6220          17          17
6230          16          20
6240          15          21
6250          16          16
6260          14          20
6270          14          14
6280          15          17
6290          16          16
6300          16          18
6310          14          14
6320          14          18
6330          15          15
6340          16          16
6350          14          16
6360          16          16
6370          13          19
6380          13          17
6390          15          17
6400          15          15
6410          15          17
6420          14          16
6430          13          15
6440          15          17
6450          13          15
6460          14          16
6470          13          15
6480          13          19
6490          17          19
6500          15          17
6510          16          18
6520          14          20
6530          16          22
6540          15          19
6550          15          21
6560          14          18
6570          17          17
6580          17          17
6590          14          18
6600          15          21
6610          17          17
6620          16          18
6630          17          17
6640          14          18
6650          16          22
6660          16          20
6670          16          18
6680          14          22
6690          14          20
6700          14          16
6710          17          17
6720          15          19
6730          16          20
6740          17          21
6750          16          22
6760          15          19
6770          15          25
6780          15          19
6790          16          20
6800          16          26
6810          18          20
6820          19          21
6830          15          19
6840          17          21
6850          15          19
6860          15          17
6870          14          18
6880          15          17
6890          16          18
6900          17          17
6910          15          19
6920          15          19
6930          14          14
6940          15          17
6950          16          16
6960          13          17
6970          15          15
6980          14          18
6990          14          14
7000          16          16
7010          17          17
7020          15          19
7030          16          18
7040          17          17
7050          16          18
7060          16          16
7070          15          21
7080          19          19
7090          16          20
7100          17          19
7110          14          16
7120          16          18
7130          17          21
7140          18          22
7150          15          21
7160          18          18
7170          16          18
7180          13          17
7190          15          17
7200          15          15
7210          14          20
7220          14          14
7230          15          17
7240          15          21
7250          15          17
7260          12          14
7270          13          17
7280          17          17
7290          17          19
7300          17          17
7310          13          17
7320          14          16
7330          16          16
7340          15          17
7350          16          16
7360          15          17
7370          15          17
7380          16          16
7390          16          18
7400          16          22
7410          17          19
7420          15          19
7430          16          18
7440          17          19
7450          18          18
7460          17          21
7470          16          16
7480          19          23
7490          14          16
7500          16          20
7510          17          23
7520          19          19
7530          17          21
7540          18          20
7550          17          17
7560          19          21
7570          17          21
7580          19          19
7590          14          18
7600          14          20
7610          17          17
7620          16          16
7630          16          20
7640          18          20
7650          18          18
7660          17          19
7670          18          22
7680          16          16
7690          16          16
7700          16          16
7710          13          15
7720          16          16
7730          17          19
7740          15          17
7750          15          17
7760          18          20
7770          16          18
7780          16          18
7790          14          16
7800          16          16
7810          17          17
7820          16          16
7830          15          15
7840          12          16
7850          15          19
7860          17          19
7870          16          20
7880          13          17
7890          15          17
7900          16          18
7910          15          19
7920          16          16
7930          15          21
7940          16          22
7950          15          17
7960          15          15
7970          14          16
7980          14          18
7990          15          19
8000          16          18
8010          14          14
8020          16          16
8030          17          17
8040          15          17
8050          15          17
8060          18          18
8070          15          15
8080          13          15
8090          14          16
8100          13          15
8110          14          16
8120          17          19
8130          15          17
8140          14          16
8150          14          14
8160          15          15
8170          15          15
8180          13          15
8190          14          16
8200          15          17
8210          13          19
8220          13          19
8230          13          15
8240          14          14
8250          13          15
8260          14          14
8270          13          15
8280          15          17
8290          11          15
8300          13          17
8310          16          18
8320          13          13
8330          13          13
8340          13          15
8350          13          19
8360          12          18
8370          13          17
8380          14          16
8390          15          17
8400          11          13
8410          13          19
8420          11          15
8430          10          16
8440          13          15
8450           9          15
8460          12          14
8470          12          16
8480          13          17
8490          12          16
8500          13          15
8510          14          14
8520          13          13
8530          13          17
8540          15          15
8550          11          15
8560          14          14
8570          15          15
8580          14          18
8590          13          17
8600          11          17
8610          14          16
8620          15          15
8630          13          17
8640          15          15
8650          15          17
8660          14          18
8670          14          14
8680          13          15
8690          13          19
8700          15          15
8710          15          15
8720          11          17
8730          11          17
8740          15          15
8750          11          13
8760          13          13
8770          10          14
8780          14          16
8790          14          18
8800          16          16
8810          13          17
8820          18          18
8830          15          17
8840          12          18
8850          13          15
8860          13          15
8870          14          16
8880          13          13
8890          12          14
8900          15          17
8910          13          15
8920          12          14
8930          11          13
8940          13          13
8950          14          16
8960          13          13
8970          15          15
8980          14          16
8990          15          15
9000          12          16
9010          11          13
9020          14          16
9030          11          11
9040          11          11
9050          14          14
9060          13          13
9070          12          14
9080          14          14
9090          11          11
9100          11          17
9110          10          12
9120          11          15
9130          12          12
9140          12          14
9150          12          14
9160          14          14
9170          10          14
9180          12          14
9190          12          16
9200          11          15
9210          12          14
9220          12          16
9230          12          14
9240          14          20
9250          16          18
9260          16          20
9270          14          18
9280          15          17
9290          15          15
9300          14          14
9310          13          13
9320          12          14
9330          15          15
9340          15          15
9350          13          13
9360          15          15
9370          14          16
9380          13          13
9390          13          15
9400          13          15
9410          14          14
9420          13          13
9430           9          13
9440          13          13
9450          12          14
9460          14          14
9470          10          16
9480          13          13
9490          12          12
9500          13          13
9510          13          13
9520          12          14
9530          13          13
9540          11          13
9550          12          12
9560          12          12
9570          10          10
9580          11          13
9590          12          12
9600          12          12
9610          12          12
9620          10          14
9630          12          12
9640          12          12
9650          12          12
9660          11          13
9670          12          12
9680          11          13
9690          12          12
9700          12          14
9710          12          12
9720          11          13
9730          11          15
9740          12          12
9750          11          13
9760          12          12
9770          12          12
9780          12          12
9790          11          11
9800          12          12
9810          10          14
9820          11          11
9830          11          11
9840          11          11
9850          11          11
9860          10          12
9870           9          11
9880          10          12
9890          10          14
9900          11          13
9910          11          11
9920          11          15
9930          12          12
9940          11          13
9950          12          14
9960          11          15
9970          12          14
9980          12          14
9990          12          18
10000          12          14
